1, Z, 72, 100
45, e, 24, 30
56, g, 48, 89
90, m, 92, 20
89, V, 58, 99
99, f, 53, 32
8, d, 9, 14
38, n, 99, 61
60, m, 76, 72
70, c, 24, 21
86, q, 9, 69
14, e, 66, 67
21, v, 100, 72
79, G, 72, 57
99, F, 86, 77
97, f, 23, 27
21, J, 5, 73
50, L, 17, 91
3, z, 22, 33
60, B, 53, 59
94, v, 55, 45
14, k, 85, 70
0, T, 16, 57
72, K, 28, 5
82, b, 42, 72
46, A, 64, 13
80, e, 30, 55
67, k, 94, 12
8, A, 93, 83
23, h, 63, 29
95, p, 57, 14
18, h, 24, 16
44, E, 11, 61
16, B, 5, 64
84, O, 15, 0
74, C, 3, 8
54, N, 12, 54
58, P, 2, 3
5, u, 5, 89
27, K, 54, 47
66, i, 5, 76
55, T, 31, 74
80, j, 31, 36
76, Q, 50, 93
19, m, 28, 0
53, s, 76, 28
60, k, 37, 1
52, j, 92, 65
95, L, 50, 39
78, z, 9, 64
58, i, 62, 69
99, L, 54, 33
90, z, 24, 20
55, Z, 97, 46
69, b, 99, 82
51, v, 17, 77
90, p, 87, 65
24, R, 82, 72
47, B, 66, 21
1, C, 9, 73
43, p, 9, 26
24, j, 93, 86
63, t, 71, 11
26, k, 97, 96
91, E, 5, 93
4, M, 18, 56
85, k, 56, 45
26, Q, 58, 50
50, J, 5, 44
53, v, 16, 52
54, z, 43, 13
23, M, 81, 96
67, i, 79, 97
15, u, 31, 15
56, k, 77, 23
86, X, 45, 69
16, j, 43, 97
62, F, 97, 28
92, E, 43, 96
24, d, 48, 47
25, O, 62, 100
75, K, 59, 6
13, q, 98, 12
50, R, 16, 70
37, k, 97, 17
66, I, 52, 61
54, N, 70, 76
92, J, 58, 95
69, K, 36, 71
32, T, 21, 79
89, N, 22, 45
5, d, 63, 84
67, K, 81, 49
67, t, 8, 48
89, O, 49, 52
83, q, 36, 57
19, b, 97, 3
10, d, 25, 9
38, l, 39, 76
0, A, 77, 62
17, i, 7, 67
8, g, 27, 77
49, B, 25, 23
8, E, 34, 14
51, N, 13, 39
2, k, 56, 63
54, F, 90, 66
88, n, 62, 45
95, m, 77, 31
46, W, 23, 18
20, q, 95, 97
85, G, 13, 90
13, G, 81, 29
42, C, 36, 10
55, Y, 97, 10
29, D, 20, 41
18, W, 60, 58
4, q, 19, 70
20, S, 9, 5
35, L, 18, 18
27, l, 21, 39
28, Q, 67, 25
48, E, 96, 91
46, a, 37, 48
28, o, 57, 76
11, h, 83, 56
49, G, 100, 51
79, Q, 43, 82
92, r, 33, 48
33, B, 32, 10
27, m, 26, 74
53, u, 2, 68
18, j, 58, 82
8, h, 6, 26
11, n, 98, 85
0, i, 29, 15
43, x, 4, 60
28, B, 36, 17
52, Q, 31, 83
96, l, 24, 95
74, K, 40, 82
64, z, 89, 75
81, o, 87, 8
34, f, 70, 97
44, e, 13, 80
9, G, 36, 97
92, R, 40, 50
26, Q, 7, 6
26, E, 67, 21
50, a, 65, 3
74, a, 34, 28
89, M, 93, 15
63, g, 73, 28
24, x, 13, 20
16, Y, 35, 71
98, E, 56, 11
40, f, 73, 71
30, D, 10, 87
86, p, 15, 48
41, r, 22, 25
25, V, 15, 29
59, n, 26, 81
76, c, 43, 66
78, N, 9, 73
12, z, 66, 8
27, T, 74, 41
82, D, 56, 53
73, n, 35, 96
53, u, 32, 42
28, S, 30, 22
3, E, 88, 80
33, C, 39, 63
10, a, 25, 65
83, h, 63, 26
18, n, 58, 87
6, W, 29, 50
59, o, 70, 58
95, g, 48, 44
89, J, 95, 10
41, Y, 67, 73
58, V, 22, 63
11, u, 87, 92
16, H, 66, 54
73, e, 42, 54
30, g, 70, 70
5, Q, 79, 90
2, M, 5, 36
58, s, 33, 66
21, K, 80, 49
42, w, 43, 12
43, F, 36, 73
95, H, 79, 50
63, s, 17, 33
37, w, 8, 90
17, Y, 8, 75
63, D, 41, 22
96, e, 35, 15
81, I, 10, 11
42, Q, 23, 17
34, v, 46, 42
21, V, 41, 19
57, P, 71, 91
45, U, 95, 35
34, R, 27, 58
90, k, 47, 79
24, U, 77, 60
64, x, 94, 77
87, M, 62, 8
25, W, 96, 37
86, u, 100, 78
53, E, 88, 68
34, q, 71, 16
79, d, 70, 88
17, p, 58, 49
91, D, 38, 69
26, Y, 87, 14
19, y, 49, 26
23, j, 29, 30
16, d, 80, 44
42, J, 11, 28
16, q, 73, 50
69, b, 71, 73
32, w, 54, 27
70, c, 58, 79
76, P, 91, 27
1, g, 78, 41
44, a, 83, 16
12, A, 0, 5
92, H, 5, 93
48, j, 0, 89
29, L, 26, 82
60, G, 22, 53
8, F, 38, 25
33, S, 43, 8
50, v, 51, 18
31, o, 69, 26
90, D, 6, 47
73, Q, 50, 2
5, I, 55, 1
86, M, 94, 66
98, t, 59, 38
19, o, 71, 84
45, k, 20, 94
11, C, 52, 22
29, W, 65, 58
61, D, 81, 48
30, I, 34, 0
1, n, 1, 100
0, R, 94, 97
22, V, 18, 61
31, p, 96, 97
52, Z, 36, 51
18, r, 10, 41
97, S, 84, 92
88, L, 72, 19
7, U, 44, 17
31, Q, 43, 10
37, U, 16, 85
11, D, 5, 61
4, V, 92, 86
94, o, 30, 36
20, M, 13, 86
59, q, 11, 64
67, L, 8, 18
50, v, 7, 97
47, n, 52, 84
35, g, 94, 62
96, I, 35, 8
6, l, 84, 96
55, J, 39, 22
18, O, 26, 64
19, g, 43, 49
30, F, 42, 78
58, Y, 44, 49
22, e, 23, 29
71, b, 30, 33
12, y, 11, 45
34, L, 63, 16
35, l, 2, 85
100, i, 21, 54
27, w, 65, 11
59, i, 27, 42
8, s, 44, 82
18, H, 30, 100
55, B, 70, 21
20, j, 97, 25
9, U, 16, 18
65, L, 2, 67
20, W, 37, 41
42, K, 53, 87
34, q, 50, 83
27, o, 78, 10
98, u, 10, 19
13, S, 75, 71
47, f, 91, 33
88, y, 28, 7
36, b, 57, 70
39, t, 70, 17
2, G, 81, 16
55, L, 63, 38
34, Q, 46, 27
17, e, 100, 99
25, m, 83, 33
23, q, 14, 73
86, x, 20, 13
13, T, 47, 29
59, X, 16, 0
31, n, 14, 63
87, j, 67, 0
67, C, 93, 83
78, I, 18, 56
69, R, 39, 95
62, m, 33, 20
10, i, 30, 57
33, X, 34, 60
28, c, 75, 42
97, Z, 0, 85
63, B, 91, 83
29, l, 89, 18
46, s, 10, 39
34, m, 91, 62
98, q, 94, 64
82, o, 69, 89
22, v, 22, 90
75, y, 44, 0
91, J, 54, 69
29, u, 66, 81
39, H, 74, 53
40, U, 46, 59
60, G, 30, 99
91, w, 29, 1
73, u, 65, 40
96, j, 30, 51
4, k, 78, 6
51, J, 100, 79
21, W, 52, 21
49, r, 28, 11
73, g, 80, 3
98, G, 19, 91
85, O, 89, 49
82, D, 93, 22
16, o, 26, 82
92, A, 58, 62
62, y, 51, 14
4, w, 83, 57
17, C, 84, 57
80, W, 53, 23
81, Y, 10, 92
23, D, 45, 39
56, w, 55, 82
65, x, 85, 76
82, v, 92, 14
66, C, 66, 64
96, x, 79, 85
58, B, 21, 51
84, w, 52, 37
16, c, 40, 45
1, i, 10, 99
30, O, 1, 45
12, U, 31, 40
49, I, 48, 82
46, T, 28, 24
78, H, 31, 66
78, H, 85, 23
31, G, 14, 71
2, w, 99, 71
56, U, 16, 29
89, C, 4, 43
80, V, 15, 85
42, e, 16, 69
76, I, 53, 84
52, g, 13, 31
31, Y, 92, 39
76, F, 95, 31
100, Y, 41, 36
25, L, 6, 66
46, V, 55, 100
9, I, 84, 39
87, F, 82, 32
83, V, 68, 10
15, N, 88, 16
5, U, 56, 13
36, Q, 74, 41
74, X, 54, 11
36, a, 88, 78
82, q, 2, 42
26, E, 50, 97
83, c, 81, 7
15, i, 28, 74
18, i, 64, 68
97, U, 69, 42
37, w, 86, 22
10, K, 94, 1
